Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,109.023125,-92.86875,180.0,bottom
C1,135.4,-96.88,270.0,bottom
C10,45.6,-63.92,90.0,bottom
C11,43.2,-83.12,90.0,bottom
C2,136.4,-96.88,270.0,bottom
C3,136.4,-94.8,90.0,bottom
C4,135.4,-94.8,90.0,bottom
C5,179.0,-92.2,180.0,bottom
C6,178.450001,-86.83375,0.0,bottom
C7,114.2,-96.2,90.0,bottom
C8,46.2,-102.0,90.0,bottom
C9,43.4,-44.92,90.0,bottom
D1,46.1,-39.1,90.0,bottom
D10,217.55,-39.1,90.0,bottom
D11,236.6,-39.1,90.0,bottom
D12,255.65,-39.1,90.0,bottom
D13,46.1,-58.15,90.0,bottom
D14,65.15,-58.15,90.0,bottom
D15,84.2,-58.15,90.0,bottom
D16,103.25,-58.15,90.0,bottom
D17,122.3,-58.15,90.0,bottom
D18,141.35,-58.15,90.0,bottom
D19,160.4,-58.15,90.0,bottom
D2,65.15,-39.1,90.0,bottom
D20,179.45,-58.15,90.0,bottom
D21,198.5,-58.15,90.0,bottom
D22,217.55,-58.15,90.0,bottom
D23,236.6,-58.15,90.0,bottom
D24,255.65,-58.15,90.0,bottom
D25,46.1,-77.2,90.0,bottom
D26,65.15,-77.2,90.0,bottom
D27,84.2,-77.2,90.0,bottom
D28,103.25,-77.2,90.0,bottom
D29,122.3,-77.2,90.0,bottom
D3,84.2,-39.1,90.0,bottom
D30,141.35,-77.2,90.0,bottom
D31,160.4,-77.2,90.0,bottom
D32,179.45,-77.2,90.0,bottom
D33,198.5,-77.2,90.0,bottom
D34,217.55,-77.2,90.0,bottom
D35,236.6,-77.2,90.0,bottom
D36,255.65,-77.2,90.0,bottom
D37,46.1,-96.25,90.0,bottom
D38,65.15,-96.25,90.0,bottom
D39,84.2,-96.25,90.0,bottom
D4,103.25,-39.1,90.0,bottom
D40,103.25,-96.25,90.0,bottom
D41,131.825,-96.25,90.0,bottom
D42,169.925,-96.25,90.0,bottom
D43,198.5,-96.25,90.0,bottom
D44,217.55,-96.25,90.0,bottom
D45,236.6,-96.25,90.0,bottom
D46,255.65,-96.25,90.0,bottom
D5,122.3,-39.1,90.0,bottom
D6,141.35,-39.1,90.0,bottom
D7,160.4,-39.1,90.0,bottom
D8,179.45,-39.1,90.0,bottom
D9,198.5,-39.1,90.0,bottom
J1,176.6,-95.8,0.0,bottom
J2,127.8,-87.0,90.0,bottom
LED1,38.1,-43.18,0.0,bottom
LED10,209.55,-43.18,0.0,bottom
LED11,228.6,-43.18,0.0,bottom
LED12,247.65,-43.18,0.0,bottom
LED13,38.1,-62.23,0.0,bottom
LED14,57.15,-62.23,0.0,bottom
LED15,76.2,-62.23,0.0,bottom
LED16,95.25,-62.23,0.0,bottom
LED17,114.3,-62.23,0.0,bottom
LED18,133.35,-62.23,0.0,bottom
LED19,152.4,-62.23,0.0,bottom
LED2,57.15,-43.18,0.0,bottom
LED20,171.45,-62.23,0.0,bottom
LED21,190.5,-62.23,0.0,bottom
LED22,209.55,-62.23,0.0,bottom
LED23,228.6,-62.23,0.0,bottom
LED24,247.65,-62.23,0.0,bottom
LED25,38.1,-81.28,0.0,bottom
LED26,57.15,-81.28,0.0,bottom
LED27,76.2,-81.28,0.0,bottom
LED28,95.25,-81.28,0.0,bottom
LED29,114.3,-81.28,0.0,bottom
LED3,76.2,-43.18,0.0,bottom
LED30,133.35,-81.28,0.0,bottom
LED31,152.4,-81.28,0.0,bottom
LED32,171.45,-81.28,0.0,bottom
LED33,190.5,-81.28,0.0,bottom
LED34,209.55,-81.28,0.0,bottom
LED35,228.6,-81.28,0.0,bottom
LED36,247.65,-81.28,0.0,bottom
LED37,38.1,-100.33,0.0,bottom
LED38,57.15,-100.33,0.0,bottom
LED39,76.2,-100.33,0.0,bottom
LED4,95.25,-43.18,0.0,bottom
LED40,95.25,-100.33,0.0,bottom
LED41,123.825,-100.33,0.0,bottom
LED42,161.925,-100.33,0.0,bottom
LED43,190.5,-100.33,0.0,bottom
LED44,209.55,-100.33,0.0,bottom
LED45,228.6,-100.33,0.0,bottom
LED46,247.65,-100.33,0.0,bottom
LED5,114.3,-43.18,0.0,bottom
LED6,133.35,-43.18,0.0,bottom
LED7,152.4,-43.18,0.0,bottom
LED8,171.45,-43.18,0.0,bottom
LED9,190.5,-43.18,0.0,bottom
MX1,38.1,-38.1,0.0,bottom
MX10,209.55,-38.1,0.0,bottom
MX11,228.6,-38.1,0.0,bottom
MX12,247.65,-38.1,0.0,bottom
MX13,38.1,-57.15,0.0,bottom
MX14,57.15,-57.15,0.0,bottom
MX15,76.2,-57.15,0.0,bottom
MX16,95.25,-57.15,0.0,bottom
MX17,114.3,-57.15,0.0,bottom
MX18,133.35,-57.15,0.0,bottom
MX19,152.4,-57.15,0.0,bottom
MX2,57.15,-38.1,0.0,bottom
MX20,171.45,-57.15,0.0,bottom
MX21,190.5,-57.15,0.0,bottom
MX22,209.55,-57.15,0.0,bottom
MX23,228.6,-57.15,0.0,bottom
MX24,247.65,-57.15,0.0,bottom
MX25,38.1,-76.2,0.0,bottom
MX26,57.15,-76.2,0.0,bottom
MX27,76.2,-76.2,0.0,bottom
MX28,95.25,-76.2,0.0,bottom
MX29,114.3,-76.2,0.0,bottom
MX3,76.2,-38.1,0.0,bottom
MX30,133.35,-76.2,0.0,bottom
MX31,152.4,-76.2,0.0,bottom
MX32,171.45,-76.2,0.0,bottom
MX33,190.5,-76.2,0.0,bottom
MX34,209.55,-76.2,0.0,bottom
MX35,228.6,-76.2,0.0,bottom
MX36,247.65,-76.2,0.0,bottom
MX37,38.1,-95.25,0.0,bottom
MX38,57.15,-95.25,0.0,bottom
MX39,76.2,-95.25,0.0,bottom
MX4,95.25,-38.1,0.0,bottom
MX40,95.25,-95.25,0.0,bottom
MX41,123.825,-95.25,0.0,bottom
MX42,161.925,-95.25,0.0,bottom
MX43,190.5,-95.25,0.0,bottom
MX44,209.55,-95.25,0.0,bottom
MX45,228.6,-95.25,0.0,bottom
MX46,247.65,-95.25,0.0,bottom
MX5,114.3,-38.1,0.0,bottom
MX6,133.35,-38.1,0.0,bottom
MX7,152.4,-38.1,0.0,bottom
MX8,171.45,-38.1,0.0,bottom
MX9,190.5,-38.1,0.0,bottom
R1,147.6,-99.6,180.0,bottom
R2,112.835625,-94.172499,90.0,bottom
R3,112.835625,-92.172498,90.0,bottom
RST1,109.023125,-96.8375,0.0,bottom
U1,178.450001,-89.43375,90.0,bottom
U2,142.875,-95.25,90.0,bottom
